traceId,segmentId,spanId,parentSpanId,parentSegmentId,serviceCode,serviceInstanceName,startTime,endTime,endpointName,type,peer,component,isError,layer,childs
7f38cfc374fc41d088e67ceaaf6e1ba8.17333.16820357836650001,7f38cfc374fc41d088e67ceaaf6e1ba8.17333.16820357836650000,0,-1,,ts-station-service,55ac6c120576440e8aa40373b997a7ba@10.244.4.34,1.68204E+12,1.68204E+12,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,FALSE,Database,
7f38cfc374fc41d088e67ceaaf6e1ba8.18478.16820410880410003,7f38cfc374fc41d088e67ceaaf6e1ba8.18478.16820410880410002,0,-1,,ts-station-service,55ac6c120576440e8aa40373b997a7ba@10.244.4.34,1.68204E+12,1.68204E+12,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,FALSE,Database,
9bd3ff639eae49718ccd7dd4cc5989d0.18164.16820401052390001,9bd3ff639eae49718ccd7dd4cc5989d0.18164.16820401052390000,0,-1,,ts-order-other-service,c591e10f505a4e3095c5e3a05a7a17e0@10.244.3.38,1.68204E+12,1.68204E+12,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,FALSE,Database,
5ef425735b4440c58f04c03396efb25a.17720.16820364454780001,5ef425735b4440c58f04c03396efb25a.17720.16820364454780000,0,-1,,ts-security-service,a9483e2e4ccd4707bb522d7cfb80b1fe@10.244.1.174,1.68204E+12,1.68204E+12,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,FALSE,Database,
67637fedc3e2414b8a09e62324b2b4d7.17389.16820363663630001,67637fedc3e2414b8a09e62324b2b4d7.17389.16820363663630000,0,-1,,ts-train-service,6ddd672a77654b3c8040af40114829c5@10.244.1.178,1.68204E+12,1.68204E+12,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,FALSE,Database,
e97e76b2fd8b40c88aab1f65e71f21ee.17919.16820354508330001,e97e76b2fd8b40c88aab1f65e71f21ee.17919.16820354508330000,0,-1,,ts-travel2-service,41db7d26c6ed45a7a1a42470223b7976@10.244.4.37,1.68204E+12,1.68204E+12,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,FALSE,Database,
ea80fd349404451d9c4c2c5be7fb6d5d.19057.16820416030800001,ea80fd349404451d9c4c2c5be7fb6d5d.19057.16820416030800000,0,-1,,ts-auth-service,149e5cdc939f43adad0035797b056e89@10.244.6.35,1.68204E+12,1.68204E+12,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,FALSE,Database,
1497eb66837f4ecb802cfa725c24dd42.18410.16820400469840001,1497eb66837f4ecb802cfa725c24dd42.18410.16820400469840000,0,-1,,ts-assurance-service,5c0f0936b49241f5bf94a1036112ea10@10.244.5.40,1.68204E+12,1.68204E+12,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,FALSE,Database,
15c8b81c96744bde9fa2eebee361d9eb.88.16820420486930003,15c8b81c96744bde9fa2eebee361d9eb.88.16820420486930002,0,-1,,ts-admin-basic-info-service,3561fd4e39834ccaac573ff56677042d@10.244.3.34,1.68204E+12,1.68204E+12,GET:/api/v1/adminbasicservice/adminbasic/contacts,Entry,,SpringMVC,FALSE,Http,
15c8b81c96744bde9fa2eebee361d9eb.88.16820420486930003,15c8b81c96744bde9fa2eebee361d9eb.88.16820420486930002,1,0,,ts-admin-basic-info-service,3561fd4e39834ccaac573ff56677042d@10.244.3.34,1.68204E+12,1.68204E+12,/api/v1/contactservice/contacts,Exit,ts-contacts-service:80,SpringRestTemplate,FALSE,Http,
